date,open,high,low,close
2019-01-01,108503.40758196257,108513.5754127837,108471.95258753283,108500.00369046007
2019-01-02,108507.83839121823,108508.95790020595,108489.21039053099,108500.89992707259
2019-01-03,108506.14427935924,108529.19078615286,108488.84615012143,108500.0775135065
2019-01-04,108496.74819595691,108525.07462829875,108495.6164609555,108497.40573799024
2019-01-07,108498.26232302094,108511.17164709505,108488.67725467207,108496.04172563473
2019-01-08,108493.42977915522,108497.13951843443,108478.80569228268,108493.06678596973
2019-01-09,108493.55353446574,108496.55188969486,108477.66770661411,108493.24721677753
2019-01-10,108501.911133697,108523.08104112494,108492.99735327675,108497.26786251419
2019-01-11,108491.83370422998,108502.62627549023,108484.36542170994,108495.79124295854
2019-01-14,108497.09570205148,108512.21704731722,108481.21926140682,108493.92981825907
2019-01-15,108495.25241642416,108506.5276872444,108488.30148002491,108495.39934440963
2019-01-16,108500.69562729592,108517.52756017346,108481.57681392215,108496.47000543411
2019-01-17,108497.3479482878,108508.79271773153,108468.25615144992,108496.7862481811
2019-01-18,108491.97682806342,108499.4279805262,108483.2060753814,108493.99484404699
2019-01-21,108494.73850970984,108523.17800792833,108464.05978883497,108493.9070885796
2019-01-22,108498.20089944806,108502.95547026984,108479.58343632313,108495.99299816297
2019-01-23,108492.06764554344,108493.71403013398,108482.87108324618,108491.96035452111
2019-01-24,108492.05162206765,108525.68236119283,108472.59387186336,108490.58750723799
2019-01-25,108483.31881349148,108490.30418912909,108463.20205387328,108484.88383901858
2019-01-28,108474.6135740967,108493.25728541517,108472.2179939506,108481.01522579923
2019-01-29,108478.19009143718,108489.2095114116,108465.32663823268,108475.49002068586
2019-01-30,108476.88222650118,108494.60744025631,108455.67080299178,108474.78474729264
2019-01-31,108471.42694300215,108488.35169108331,108453.2202018402,108470.9824078483
2019-02-01,108472.0014326114,108490.0910990087,108459.83221570012,108471.79620092477
2019-02-04,108475.3753414927,108483.96972917083,108470.29811383368,108472.26645418465
2019-02-05,108470.33434117431,108481.12418909,108464.63765827805,108471.70566135074
2019-02-06,108462.03578002221,108466.80294615355,108453.11555480029,108464.15538221829
2019-02-07,108461.97365392226,108462.75163080744,108435.00647092955,108462.53930353075
2019-02-08,108465.96109226022,108480.62640651321,108438.1153614278,108462.39380069455
2019-02-11,108458.57238893976,108471.25504564733,108450.14549241484,108462.73372765255
2019-02-12,108461.71881033388,108492.34694577784,108451.75941814305,108458.14332035604
2019-02-13,108454.79230196532,108463.2029524018,108439.42999342347,108456.71006052794
2019-02-14,108450.47227279459,108459.83361776662,108425.06119985535,108453.77450329377
2019-02-15,108455.12817708391,108459.22716035675,108430.92664333413,108451.34799157549
2019-02-18,108454.24001716125,108459.13904602628,108446.06593997519,108454.53068744564
2019-02-19,108448.2073803265,108470.52841981594,108443.09128104754,108452.10808341965
2019-02-20,108450.93431912764,108460.83824455335,108433.96157988111,108452.01051830481
2019-02-21,108457.45684519963,108460.15915542946,108446.75966342416,108454.66368790697
2019-02-22,108456.4891091866,108466.2423508638,108429.45119850144,108452.91288660874
2019-02-25,108451.29648471421,108473.08017277741,108446.33636120829,108452.57778075998
2019-02-26,108454.12813546702,108471.87477454302,108444.14244950755,108452.90917318974
2019-02-27,108455.24277240968,108460.64764399012,108432.8414274897,108453.1005185125
2019-02-28,108447.4914715521,108463.88308767638,108440.56309616724,108449.42535103325
2019-03-01,108450.71887994988,108451.68186041767,108448.9895592881,108449.65377172438
2019-03-04,108453.63460824534,108469.65998631097,108444.51787984376,108453.7302419896
2019-03-05,108447.4807347238,108464.5784471854,108424.19457299911,108449.08880795521
2019-03-06,108450.19051221314,108475.07291043072,108432.63237439081,108451.66695601928
2019-03-07,108452.22612154197,108456.67052139474,108444.81809405977,108452.02501809636
2019-03-08,108450.19016737492,108466.4674034522,108446.80622140801,108450.10060691404
2019-03-11,108454.40538669309,108471.40973920889,108449.06175243268,108456.10185655307
2019-03-12,108457.11080036413,108463.0326934469,108448.83432945395,108458.38863568933
2019-03-13,108458.13078069803,108474.9900404492,108451.44694559056,108454.79076898302
2019-03-14,108455.65579907486,108455.82164014067,108451.70819009218,108455.01431766932
2019-03-15,108459.3996695201,108477.33435988704,108441.63151604621,108456.74438642034
2019-03-18,108459.78350674009,108472.4793180409,108423.85671589662,108456.17804004428
2019-03-19,108459.99329762478,108470.73961117605,108450.41363346853,108458.22677084587
2019-03-20,108464.83987782558,108472.39272099253,108443.71498053812,108458.02721888543
2019-03-21,108457.55304947263,108465.99444675585,108447.7636451845,108460.02896156792
2019-03-22,108466.76975812214,108470.26529522736,108460.22621971561,108464.3445293429
2019-03-25,108461.36311067079,108465.70613618282,108442.70900454232,108462.31754258988
2019-03-26,108468.49430821116,108483.34722714455,108446.26930209514,108462.92695842104
2019-03-27,108466.63835605561,108474.31805116427,108460.03227972472,108461.53703569144
2019-03-28,108456.0562073791,108487.95411796651,108454.31964953935,108461.91884092511
2019-03-29,108455.45065861402,108459.95089552195,108445.61068444529,108458.35725734156
2019-04-01,108458.61229128443,108473.39302421076,108449.14507652058,108456.61935255205
2019-04-02,108458.4003662633,108459.75398408013,108452.73894394835,108456.03076463364
2019-04-03,108460.93674889841,108464.63673882987,108443.42835993672,108458.72705624993
2019-04-04,108461.95012628779,108492.64634455826,108461.33916626891,108462.1627222723
2019-04-05,108459.55750136854,108464.19767314657,108429.95593512007,108458.19213889485
2019-04-08,108457.76727610425,108476.92552754439,108445.68431879209,108455.80821179689
2019-04-09,108457.515308256,108468.46015444992,108440.02321203082,108457.74892206461
2019-04-10,108454.85356861717,108459.6119879198,108431.10502432346,108451.77166271208
2019-04-11,108443.6036613699,108482.710030908,108421.13123735324,108450.38215311723
2019-04-12,108451.99167289893,108455.09301188203,108437.7508721242,108450.09029234022
2019-04-15,108450.75917943522,108467.88203826906,108420.52857046465,108453.86133727207
2019-04-16,108458.80558239769,108473.82958175089,108454.1843070997,108455.92954897379
2019-04-17,108454.26185543844,108460.23703305953,108450.4550218378,108454.94790871312
2019-04-18,108451.17581921756,108463.91435625676,108447.72060049252,108453.84218103082
2019-04-19,108454.2133012995,108481.23770563147,108444.06799173281,108453.09159482927
2019-04-22,108454.9281825371,108468.10623975549,108454.16126954739,108457.66218303064
2019-04-23,108453.63980451025,108465.43045014332,108450.98635429957,108456.37810820292
